,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
200208,ec322d56-3770-40b4-9b11-d7768058dd9c,749985,264691,2021-06-20 14:13:38.057000+00:00,12,FALSE,FALSE,2021-06-20 14:13:59.746000+00:00,,,de,21171,,1,0.361483335494995,0,0,0,0,0,749500,264500,2021-06-20 14:15:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.51583448754766,9.43000262219104
200224,ec5bfd64-7f38-42c7-8617-2db455d0f84c,748353,257174,2021-06-20 08:03:46.058000+00:00,11,FALSE,FALSE,2021-06-20 08:04:05.265000+00:00,,,de,21171,,1,0.320116666952769,0,0,0,0,0,748500,257500,2021-06-20 08:05:00+00:00,1,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.44861896521077,9.405841087092664
200229,ec6f0b4e-aaaf-49ab-8b11-2ffd99609877,612786,182951,2021-06-20 13:47:44.359000+00:00,14,FALSE,FALSE,2021-06-20 13:48:04.752000+00:00,,,de,21171,62.0,0,0.339883335431417,0,0,0,0,0,612500,182500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.7976007580752,7.606114905520704
200234,ec7f5a74-6583-4a36-b319-fe559b78888a,604272,193635,2021-06-20 13:58:00.353000+00:00,11,FALSE,FALSE,2021-06-20 13:58:07.692000+00:00,,,de,21171,61.0,0,0.122316666444143,0,0,0,0,0,604500,193500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.89381495465919,7.494691148916928
200240,eca6f2b8-f58b-4a40-8bdc-1901ccba862c,683309,263731,2021-06-20 16:02:45.240000+00:00,15,FALSE,FALSE,2021-06-20 16:03:16.935000+00:00,,,de,21171,56.5,0,0.52824999888738,0,0,0,0,0,683500,263500,2021-06-20 16:05:00+00:00,0,2021-06-20,2021-06,2021,Golf ball,43 [mm],43.0,47.51903949739991,8.54471746073668
200253,ecbbd3e1-89c6-43eb-93d5-7483fcfe0c84,676789,237688,2021-06-20 15:29:08.934000+00:00,13,FALSE,FALSE,2021-06-20 15:29:14.304000+00:00,,,fr,21171,59.0,0,0.0894999980926514,0,0,0,0,0,676500,237500,2021-06-20 15:30:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.285618144516434,8.453689266224847
200260,ecc4c44b-a0f4-4bd9-ab24-7528e7b79b4f,572014,58063,2021-06-20 17:41:44.943000+00:00,10,FALSE,FALSE,2021-06-20 17:42:03.002000+00:00,,,fr,21171,,1,0.300983333587647,0,0,0,0,0,572500,58500,2021-06-20 17:40:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,45.673718106420274,7.079569517420046
200261,ecca2a3d-db6e-416a-81d3-f5590be5c129,497314,120057,2021-06-20 11:14:24.856000+00:00,12,TRUE,TRUE,2021-06-20 11:15:38.658000+00:00,,,en,21171,37.0,0,1.23003333409627,0,0,0,0,0,497500,120500,2021-06-20 11:15:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.22410333289223,6.1077057651984115
200262,eccb942c-e324-4af0-bc66-8f4225ae745f,612381,185821,2021-06-20 14:28:07.308000+00:00,14,FALSE,FALSE,2021-06-20 14:28:32.751000+00:00,,,de,21171,55.5,0,0.424049997329712,0,0,0,0,0,612500,185500,2021-06-20 14:30:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.823425019388004,7.600887297948879
200266,ecdac7f1-5447-4a0f-a183-8ed98377bb97,694412,270940,2021-06-20 16:20:13.232000+00:00,11,FALSE,FALSE,2021-06-20 16:20:34.930000+00:00,,,de,21171,57.0,0,0.361633332570394,0,0,0,0,0,694500,270500,2021-06-20 16:20:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.58236562570165,8.693639320134157
200271,ece11d60-ef5e-450d-bd77-11239321f182,504989,142600,2021-06-20 15:48:19.899000+00:00,10,FALSE,FALSE,2021-06-20 15:48:27.073000+00:00,,,fr,21171,51.5,0,0.119566667079926,0,0,0,0,0,504500,142500,2021-06-20 15:50:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.427995677449445,6.202556616357292
200275,ece9474c-a2c6-4dfd-84a1-c94b884b59b7,573607,230360,2021-06-20 17:00:41.267000+00:00,10,FALSE,FALSE,2021-06-20 17:00:47.656000+00:00,,,fr,21171,53.5,0,0.106483332316081,0,0,0,0,0,573500,230500,2021-06-20 17:00:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.22363814234368,7.090155656749406
200278,ecee6e0c-ffe2-4383-bffb-95aa432a5e2e,605521,197881,2021-06-20 16:13:50.116000+00:00,15,FALSE,FALSE,2021-06-20 16:14:03.835000+00:00,,,de,21171,,1,0.228650001684825,0,0,0,0,0,605500,197500,2021-06-20 16:15:00+00:00,1,2021-06-20,2021-06,2021,Golf ball,43 [mm],43.0,46.931999612435646,7.511131520031567
200279,eceff44c-81e7-42b0-b063-d9ea37dfd636,609909,185338,2021-06-20 13:51:21.534000+00:00,13,FALSE,TRUE,2021-06-20 13:51:34.155000+00:00,,,de,21171,63.5,0,0.210350000858307,0,0,0,0,0,609500,185500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.81912142514916,7.568481472779943
200283,ecf60c99-d236-4781-953d-87f626bce097,609211,191392,2021-06-20 13:57:27.492000+00:00,13,TRUE,TRUE,2021-06-20 13:57:38.505000+00:00,,,de,21171,63.0,0,0.183550000190735,0,0,0,0,0,609500,191500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.873588993602525,7.5594562466392725
200297,ed11dabb-d0b9-49b5-be8a-b374fe293472,697815,227805,2021-06-20 17:40:54.006000+00:00,12,FALSE,FALSE,2021-06-20 17:41:26.742000+00:00,,,de,21171,,1,0.545600001017253,0,0,0,0,0,697500,227500,2021-06-20 17:40:00+00:00,1,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.19395537816437,8.729435033410875
200300,ed16ff94-bded-4ab3-aa6f-f08867ab7045,612782,183356,2021-06-20 13:59:52.388000+00:00,15,FALSE,FALSE,2021-06-20 14:00:26.097000+00:00,,,de,21171,63.5,0,0.561816664536794,0,0,0,0,0,612500,183500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,Golf ball,43 [mm],43.0,46.80124395488943,7.606073776350596
200301,ed16ff94-bded-4ab3-aa6f-f08867ab7045,612782,183356,2021-06-20 14:31:50.100000+00:00,12,FALSE,FALSE,2021-06-20 14:32:20.044000+00:00,,,de,21171,55.5,0,0.499066666762034,0,0,0,0,0,612500,183500,2021-06-20 14:30:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.80124395488943,7.606073776350596
200312,ed40cf14-f491-48ac-96f0-7d2e4b4a6a4f,609211,191392,2021-06-20 15:50:21.728000+00:00,13,TRUE,TRUE,2021-06-20 16:50:38.889000+00:00,,,de,21171,,1,60.2860166668892,1,0,0,0,0,609500,191500,2021-06-20 15:50:00+00:00,1,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,46.873588993602525,7.5594562466392725
200327,ed7ac0d7-3107-4b5a-a523-f06dff321010,608358,191045,2021-06-20 13:52:20.664000+00:00,12,FALSE,FALSE,2021-06-20 13:53:02.681000+00:00,,,de,21171,63.0,0,0.700283332665761,0,0,0,0,0,608500,191500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.87047881588507,7.548260987419349
